,game_id,date,aw_team,hm_team,hm_is_b2b,aw_is_b2b,home_total_goals,away_total_goals,home_total_shots,away_total_shots,hm_wins,away_xG,home_xG
104,2018020115.0,2018-10-21,CGY,NYR,0,0,1,4,45,26,0,2.8784,4.1599
105,2018020116.0,2018-10-21,TBL,CHI,1,1,3,6,36,55,0,5.9952,3.1938
106,2018020117.0,2018-10-21,BUF,ANA,1,1,2,4,28,45,0,2.8378,2.4984
107,2018020118.0,2018-10-22,COL,PHI,0,0,1,4,38,33,0,2.6942,1.9072
108,2018020119.0,2018-10-22,CAR,DET,0,0,1,3,21,39,0,3.0714,3.117
109,2018020120.0,2018-10-22,STL,WPG,0,0,5,4,36,34,1,3.3942,3.0498
110,2018020122.0,2018-10-23,FLA,NYR,0,0,5,2,22,38,1,1.7432,2.0972
111,2018020123.0,2018-10-23,ARI,CBJ,0,0,1,4,36,26,0,2.8244,3.231
112,2018020124.0,2018-10-23,CGY,MTL,0,0,3,2,40,23,1,3.1966,5.3456
113,2018020125.0,2018-10-23,BOS,OTT,0,0,1,4,39,32,0,3.594,3.0976
114,2018020126.0,2018-10-23,SJS,NSH,0,0,4,5,29,32,0,2.1222,3.2518
115,2018020127.0,2018-10-23,ANA,CHI,0,0,3,1,38,25,1,2.273,2.4932
116,2018020128.0,2018-10-23,LAK,DAL,0,0,4,2,23,33,1,2.9826,3.2136
117,2018020129.0,2018-10-23,PIT,EDM,0,0,5,6,46,31,0,3.9692,4.0214
118,2018020131.0,2018-10-24,TOR,WPG,0,0,2,4,40,39,0,3.5012,2.3042
119,2018020132.0,2018-10-24,TBL,COL,0,0,0,1,22,24,0,2.1534,2.2552000000000003
120,2018020133.0,2018-10-24,VAN,VGK,0,0,2,3,35,26,0,1.5006,1.3364
121,2018020134.0,2018-10-25,PHI,BOS,0,0,3,0,25,26,1,2.1032,2.2204
122,2018020135.0,2018-10-25,MTL,BUF,0,0,4,3,42,22,1,1.0772,3.1738
123,2018020136.0,2018-10-25,NSH,NJD,0,0,3,4,36,36,0,2.04,3.0234
124,2018020137.0,2018-10-25,CBJ,STL,0,0,4,7,37,32,0,3.8708,3.173
125,2018020138.0,2018-10-25,LAK,MIN,0,0,4,1,26,24,1,1.9788,2.7924
126,2018020139.0,2018-10-25,NYR,CHI,0,0,4,1,37,19,1,1.9918,4.5974
127,2018020140.0,2018-10-25,ANA,DAL,0,0,5,2,41,25,1,1.483,3.7638
128,2018020142.0,2018-10-25,WSH,EDM,0,0,4,1,32,32,1,1.9043999999999999,3.4082
129,2018020143.0,2018-10-25,VAN,ARI,0,1,4,1,30,28,1,1.8175999999999999,2.2806
130,2018020144.0,2018-10-26,TBL,VGK,0,0,2,3,31,23,0,2.6174,1.507
131,2018020145.0,2018-10-26,WPG,DET,0,0,1,2,28,40,0,5.2078,2.1068
132,2018020146.0,2018-10-26,SJS,CAR,0,0,4,3,41,23,1,1.483,2.9576000000000002
133,2018020147.0,2018-10-26,OTT,COL,0,0,6,3,37,24,1,1.0322,3.7184
134,2018020148.0,2018-10-27,FLA,NJD,0,0,3,2,26,37,1,2.3002000000000002,2.5042
135,2018020149.0,2018-10-27,NYI,PHI,0,0,1,6,23,22,0,2.3369999999999997,1.9448
136,2018020150.0,2018-10-27,EDM,NSH,0,0,3,5,27,35,0,3.3214,2.7032
137,2018020152.0,2018-10-27,MTL,BOS,0,0,0,3,33,23,0,1.2424,1.2542
138,2018020153.0,2018-10-27,WPG,TOR,0,1,3,2,31,24,1,1.9285999999999999,1.5962
139,2018020154.0,2018-10-27,BUF,CBJ,0,0,5,4,37,38,1,4.5142,3.422
140,2018020155.0,2018-10-27,CHI,STL,0,0,7,3,37,24,1,1.472,3.6526
141,2018020156.0,2018-10-27,COL,MIN,0,1,3,2,28,32,1,2.1192,2.6146
142,2018020157.0,2018-10-27,TBL,ARI,0,1,7,1,30,31,1,2.8264,2.6704
143,2018020159.0,2018-10-28,NYR,LAK,0,0,4,3,40,25,1,1.2076,2.862
144,2018020160.0,2018-10-28,DAL,DET,0,0,4,2,23,30,1,1.803,1.4243999999999999
145,2018020161.0,2018-10-28,NYI,CAR,0,1,1,2,39,20,0,1.2732,2.6357
146,2018020162.0,2018-10-28,EDM,CHI,1,1,1,2,32,26,0,2.9264,2.247
